Vertaizon;63453;Vertaizonnais;12,83;3 187 (2017);248;CC Billom Communauté;
Aigueperse;63001;Aiguepersirons;10,5;2 732 (2017);260;CC Plaine Limagne;
Artonne;63012;Artonnois;17,48;898 (2017);51;CC Plaine Limagne;
Aubiat;63013;Aubiadaires;14,79;890 (2017);60;CC Plaine Limagne;
Bas-et-Lezat;63030;;12,59;333 (2017);26;CC Plaine Limagne;
Beaumont-lès-Randan;63033;;5,99;295 (2017);49;CC Plaine Limagne;
Bussières-et-Pruns;63061;Bussiérois et Prunois;11,63;450 (2017);39;CC Plaine Limagne;
Chaptuzat;63090;Chaptuzatois;8,24;491 (2017);60;CC Plaine Limagne;
Effiat;63143;Effiatois;19,96;1 119 (2017);56;CC Plaine Limagne;
Limons;63196;Limonois;14,88;754 (2017);51;CC Plaine Limagne;
Luzillat;63201;Luzillatois;23,19;1 131 (2017);49;CC Plaine Limagne;
Maringues;63210;Maringuois;22,11;3 154 (2017);143;CC Plaine Limagne;
Mons;63232;;13,82;538 (2017);39;CC Plaine Limagne;
Montpensier;63240;Montpensierois;7,24;447 (2017);62;CC Plaine Limagne;
Randan;63295;Randannais;15,65;1 573 (2017);101;CC Plaine Limagne;
Saint-Agoulin;63311;Saint-Agoulinois;9,34;334 (2017);36;CC Plaine Limagne;
Saint-André-le-Coq;63317;Andrésiens;18,02;526 (2017);29;CC Plaine Limagne;
Saint-Clément-de-Régnat;63332;Clémentins;15;557 (2017);37;CC Plaine Limagne;
Saint-Denis-Combarnazat;63333;;10,21;223 (2017);22;CC Plaine Limagne;
Saint-Genès-du-Retz;63347;Saint-Genestois;8,24;483 (2017);59;CC Plaine Limagne;
Saint-Priest-Bramefant;63387;Saint-Priestois;19,06;865 (2017);45;CC Plaine Limagne;
Saint-Sylvestre-Pragoulin;63400;Pragoulinois;23,81;1 085 (2017);46;CC Plaine Limagne;
Sardon;63406;Sardonais;8,41;314 (2017);37;CC Plaine Limagne;
Thuret;63432;Thurétois;16,66;921 (2017);55;CC Plaine Limagne;
Vensat;63446;Vensatois;16,11;505 (2017);31;CC Plaine Limagne;
Villeneuve-les-Cerfs;63459;Villeneuvois;9,89;532 (2017);54;CC Plaine Limagne;
Lezoux;63195;Lezouviens;34,69;6 152 (2017);177;CC entre Dore et Allier;
Bort-l'Étang;63045;;15,4;657 (2017);43;CC entre Dore et Allier;
Bulhon;63058;Bulhonois;12,47;530 (2017);43;CC entre Dore et Allier;
Crevant-Laveine;63128;Crevantois;19,76;967 (2017);49;CC entre Dore et Allier;
Culhat;63131;Culhatois;18,74;1 130 (2017);60;CC entre Dore et Allier;
Joze;63180;Jozelaires;19,35;1 101 (2017);57;CC entre Dore et Allier;
Lempty;63194;Lemptynaires;4,76;389 (2017);82;CC entre Dore et Allier;
Moissat;63229;Moissadaires;13;1 225 (2017);94;CC entre Dore et Allier;
